C:\Users\Rgee\Google Drive\Classroom\PRC-ST1 Batch 115\Deployment\OOTO UNICEF\Datasets\ready for OOTO\preprocessed\national_female_preprocessed.csv,C:\Users\Rgee\Google Drive\Classroom\PRC-ST1 Batch 115\Deployment\OOTO UNICEF\Datasets\ready for OOTO\preprocessed\national_male_preprocessed.csv
Question,Feature,Chi,Higher Or Lower,Degrees of Freedom
I lost money by being cheated on the internet,f43c,9.510912006624487,-,1
Somebody used my password to access my information or to pretend to be me,f43d,0.3442926098520074,-,1
Somebody created a page or image about me that was hostile or hurtful,f43e,,,2
I spent too much money on online games or in-app purchases,f43f,8.690011713751751,-,1
I was asked to make an in-app purchase when playing an online game (e.g.; to do well in the game),f43g,5.677887861000119,-,1
Someone found out where I was because they tracked my phone or device,f43h,,,2
I have gone without eating or sleeping because of the time I spent on the internet,f45a,0.42511649980396826,-,1
I have experienced conflicts with family or friends because of the time I spent on the internet,f45b,0.10362609783871381,+,1
My grades have dropped because of the time I spent on the internet,f45c,29.659485628894757,-,1
I have tried unsuccessfully to spend less time on the internet,f45d,0.08448333609869746,-,1
I think the amount of time I spend on the internet causes problems for me,f45e,4.3059000512859384,+,1
null,f45f,26.444570304304072,+,1
null,h1,1.1408506642893688,-,1
Your mother or father (including step/foster mother or father),h2a,0.01160054360005024,-,1
Your brother or sister (including step siblings),h2b,0.0002912887218420128,+,1
Cousin,h2i,2.5007260909709474,+,1
Aunt/Uncle,h2j,3.79511875898761,-,1
Grandfather/Grandmother,h2k,1.7596834553174618,-,1
A friend around my age,h2c,15.316647669864203,+,1
Boyfriend/Girlfriend,h2l,0.23580790978018423,+,1
A teacher,h2d,4.553132089688736,-,1
Classmate,h2m,1.0168829574110423,+,1
Someone whose job it is to help children [give examples if needed],h2e,0.14281584069655776,+,1
Nanny,h2n,,,1
Godfather/Godmother,h2o,6.574347222228667,-,1
Priest/Pastor/Nun,h2p,0.28388877000264895,-,1
Neighbor,h2q,6.823981428703827,-,1
Another adult you trust,h2f,0.5495821234126123,-,1
Someone else,h2g,10.54304457319343,-,1
No one,h2h,13.607421765271894,-,1
null,i1,3.43752562786124,+,1
When I speak someone listens to what I say,i2a,10.595571525811065,+,1
My family really tries to help me,i2b,9.95018928116442,+,1
I feel safe at home,i2c,13.561268699575024,+,1
My parent(s)/carer(s) sets rules about what I can do at home,i3b,19.65562676573714,+,1
My parent(s)/carer(s) sets rules about what I can do outside the home,i3c,11.846996143450827,+,1
My parent(s)/carer(s) tells me when I am doing something well,i3d,5.870657466217209,+,1
My parent(s)/carer(s) praises me for behaving well,i3a,6.993125440638211,+,1
Encourages me to explore and learn things on the internet,i4a,0.7600231379597558,+,1
Suggests ways to use the internet safely,i4b,1.9446554689479179,+,1
Talks to me about what I do on the internet,i4c,2.1613282598889505,+,1
Sits with me while I use the internet,i4d,0.695028437340132,+,1
Stays nearby when I use the internet,i4e,8.966250731899338,+,1
Does shared activities together with me on the internet,i4f,3.921264818444263,+,1
Talks to me about what to do if something online bothers or upsets me,i4g,6.582939703937134,+,1
Helps me when something is difficult to do or find on the internet,i4h,3.4373599030541704,+,1
Explains why some websites are appropriate or inappropriate,i4i,1.8097241266345374,+,1
Helps me when something bothers me on the internet,i4j,6.489179964024457,+,1
Talks to me about the commercial activities I am exposed to online,i4k,0.5329600186707689,-,1
Told my parent/carer about things that bother or upset me on the internet,i5a,0.7141684653849948,+,1
Helped my parent/carer to do something they found difficult on the internet,i5b,14.370718160913029,+,1
Started a discussion with my parent/carer about what I do on the internet,i5c,8.537534121391325,+,1
Asked for my parent's/carer's advice on how I should act online,i5d,1.4572921396141623,+,1
Asked my parent/carer for something that I have seen advertised online,i5e,0.12802568225998262,+,1
Ask for your parent's/carer's help with a situation on the internet that I could not handle,i5f,4.627632947270424,+,1
Use a web or phone camera (e.g.; for Skype or video chat),i6a,0.08193922958988917,-,1
Download music or films,i6b,1.3364990984900211,-,1
Visit a social networking site (e.g.; Facebook; [insert local terms]),i6c,0.10355110661064167,-,1
Watch video clips (e.g.; on YouTube),i6d,0.868485477395001,+,1
Play games with other people online,i6e,58.87685742552533,+,1
Visit a chat room,i6f,0.7240459053504021,+,1
Use instant messaging,i6g,3.9600799478658626,+,1
Read/watch news online,i6h,0.7450486016698651,-,1
Use the internet for school work,i6i,0.9250571478811334,-,1
Spend time in a virtual world (e.g.; Habbo; Club Penguin; Minecraft [add examples as needed]),i6j,31.076051193475028,+,1
Put (or post) photos; videos or music online to share with others (including social networking or instant messaging),i6k,0.0012554241287337227,+,1
null,i7a,0.8823953764276713,-,1
null,i7b,0.15410823405284235,+,1
null,i7c,,,2
null,i7d,0.46505543721248477,-,1
null,i7e,0.010978003152773835,-,1
null,i7f,0.14900667434188974,-,1
null,i7g,0.00043352023118180114,+,1
null,i7h,0.10373470358660279,-,1
null,i7i,0.00011498804542739098,+,1
null,i8a,3.06818465039652,+,1
null,i8b,0.7035534211083971,-,1
null,i8c,0.23536984706305464,+,1
null,i8d,0.38815444280422834,-,1
